time,pnl,equity,side,enter,exit
2022-01-01 07:00:00+00:00,-3.834946773244075e-05,9999.999961650532,-1,y,
2022-01-01 07:01:00+00:00,-3.833123497248067e-05,9999.999923319298,-1,y,
2022-01-01 07:02:00+00:00,0.003961712041124576,10000.00388503134,-1,,tp/sl
2022-01-01 07:02:00+00:00,0.0039617120259316215,10000.007846743365,-1,,tp/sl
2022-01-01 07:02:00+00:00,-3.8285888917354814e-05,10000.007808457476,-1,y,
2022-01-01 07:03:00+00:00,-3.825869454554671e-05,10000.007770198781,-1,y,
2022-01-01 07:04:00+00:00,0.0039617533008369085,10000.011731952081,-1,,tp/sl
2022-01-01 07:04:00+00:00,-3.8247752718823295e-05,10000.01169370433,-1,y,
2022-01-01 07:05:00+00:00,-0.0030382779698194537,10000.00865542636,-1,,tp/sl
2022-01-01 07:05:00+00:00,-3.8272338456792224e-05,10000.00861715402,-1,y,
2022-01-01 07:06:00+00:00,-0.003038329503231909,10000.005578824517,-1,,tp/sl
2022-01-01 07:06:00+00:00,-0.0030383297605687627,10000.002540494757,-1,,tp/sl
2022-01-01 07:08:00+00:00,-3.829471721605486e-05,10000.00250220004,-1,y,
2022-01-01 07:09:00+00:00,0.003961736065332974,10000.006463936106,-1,,tp/sl
2022-01-01 07:09:00+00:00,-3.8262865876596945e-05,10000.00642567324,-1,y,
2022-01-01 07:10:00+00:00,-3.827739990400799e-05,10000.00638739584,-1,y,
2022-01-01 07:11:00+00:00,-3.827338562284492e-05,10000.006349122456,-1,y,
2022-01-01 07:12:00+00:00,0.0039617831216669916,10000.010310905576,-1,,tp/sl
2022-01-01 07:12:00+00:00,0.003961783106508084,10000.014272688682,-1,,tp/sl
2022-01-01 07:12:00+00:00,0.003961783091343418,10000.018234471774,-1,,tp/sl
2022-01-01 07:12:00+00:00,-3.821740888994884e-05,10000.018196254365,-1,y,
2022-01-01 07:13:00+00:00,-0.003038253373021252,10000.015158000992,-1,,tp/sl
2022-01-01 07:14:00+00:00,-3.822728338787684e-05,10000.015119773709,-1,y,
2022-01-01 07:15:00+00:00,-3.8210958186911124e-05,10000.015081562751,-1,y,
2022-01-01 07:16:00+00:00,0.003961825693683699,10000.019043388445,-1,,tp/sl
2022-01-01 07:16:00+00:00,0.003961825678538738,10000.023005214123,-1,,tp/sl
2022-01-01 07:16:00+00:00,-3.817829947277158e-05,10000.022967035824,-1,y,
2022-01-01 07:17:00+00:00,-3.8158319918922784e-05,10000.022928877504,-1,y,
2022-01-01 07:18:00+00:00,-3.8171384792417294e-05,10000.02289070612,-1,y,
2022-01-01 07:19:00+00:00,-3.816560579141417e-05,10000.022852540513,-1,y,
2022-01-01 07:20:00+00:00,-3.8175642384822554e-05,10000.022814364871,-1,y,
2022-01-01 07:21:00+00:00,-0.003038195688425467,10000.019776169183,-1,,tp/sl
2022-01-01 07:21:00+00:00,-0.003038195665235063,10000.016737973518,-1,,tp/sl
2022-01-01 07:22:00+00:00,-0.0030382360689319046,10000.013699737448,-1,,tp/sl
2022-01-01 07:22:00+00:00,-0.0030382360457390915,10000.010661501403,-1,,tp/sl
2022-01-01 07:22:00+00:00,-0.0030382360225461643,10000.007623265381,-1,,tp/sl
2022-01-01 07:22:00+00:00,-3.822700856229286e-05,10000.007585038373,-1,y,
2022-01-01 07:23:00+00:00,-3.821652632633394e-05,10000.007546821846,-1,y,
2022-01-01 07:24:00+00:00,0.003961829550949559,10000.011508651396,-1,,tp/sl
2022-01-01 07:24:00+00:00,0.003961829535804681,10000.015470480932,-1,,tp/sl
2022-01-02 07:00:00+00:00,-3.609320985344771e-05,10000.015434387722,-1,y,
2022-01-02 07:01:00+00:00,-0.0030361407621326856,10000.01239824696,-1,,tp/sl
2022-01-02 07:01:00+00:00,-3.613400988395776e-05,10000.01236211295,-1,y,
2022-01-02 07:02:00+00:00,-0.0030361694470501382,10000.009325943503,-1,,tp/sl
2022-01-02 07:06:00+00:00,-3.6194346078869134e-05,10000.009289749158,1,y,
2022-01-02 07:07:00+00:00,-3.618361210413443e-05,10000.009253565546,1,y,
2022-01-02 07:08:00+00:00,-3.6190431235029745e-05,10000.009217375115,1,y,
2022-01-02 07:09:00+00:00,0.003963790132649637,10000.013181165246,1,,tp/sl
2022-01-02 07:09:00+00:00,-3.6215697344993434e-05,10000.01314494955,1,y,
2022-01-02 07:10:00+00:00,-3.619942484217759e-05,10000.013108750125,1,y,
2022-01-02 07:11:00+00:00,-0.0030361834400943204,10000.010072566685,1,,tp/sl
2022-01-02 07:11:00+00:00,-3.618157450012712e-05,10000.01003638511,1,y,
2022-01-02 07:12:00+00:00,-0.003036147716880092,10000.007000237394,1,,tp/sl
2022-01-02 07:12:00+00:00,-0.003036147694905095,10000.0039640897,1,,tp/sl
2022-01-02 07:12:00+00:00,-0.0030361488763856596,10000.000927940822,1,,tp/sl
2022-01-02 07:12:00+00:00,-0.0030361479435657077,9999.997891792878,1,,tp/sl
2022-01-02 07:12:00+00:00,-3.614697776799164e-05,9999.997855645901,1,y,
2022-01-02 07:13:00+00:00,-0.0030361134782186106,9999.994819532423,1,,tp/sl
2022-01-02 07:13:00+00:00,-3.6116199584461315e-05,9999.994783416223,1,y,
2022-01-02 07:14:00+00:00,-0.003036059759379918,9999.991747356464,1,,tp/sl
2022-01-02 07:14:00+00:00,-3.606340243978231e-05,9999.991711293062,1,y,
2022-01-02 07:15:00+00:00,-3.6080263322257594e-05,9999.991675212797,-1,y,
2022-01-02 07:16:00+00:00,0.003963862081762483,9999.99563907488,1,,tp/sl
